**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
-0.949397  +/-  7888569289.50763
-1.005034  +/-  4954498508.793185
-0.375789  +/-  5456323954.383836
0.318274  +/-  4941668690.863273
2.36419  +/-  6788239578.270137
-5.268576  +/-  4950859701.418422
-2.275266  +/-  6871786270.755452
-0.02243  +/-  8875185782.29395
0.0  +/-  7320422491.836766
0.888122  +/-  7675221912.933817
1.903895  +/-  5382869363.963704
1.896348  +/-  5962633815.379907
1.741957  +/-  5421458307.572008
1.493573  +/-  4876636508.779309
1.183694  +/-  5399070376.133465
0.833414  +/-  4877343577.293597
0.458417  +/-  5482962323.416131
0.07368  +/-  5978443683.15908
0.0  +/-  5323487288.929843
0.0  +/-  7697170106.560304
-0.0  +/-  7318837315.080967
-0.939309  +/-  8864560092.3341
-0.928493  +/-  6905664266.975938
-0.302774  +/-  5207572885.542263
0.296084  +/-  6844797328.974914
2.341299  +/-  5176047545.492142
-4.680364  +/-  4879173553.20768
-2.470355  +/-  7398408944.919481
-0.348524  +/-  7987204634.365327
-0.0  +/-  7549548051.04396
0.217257  +/-  8003528208.087379
1.71619  +/-  6984968372.903934
1.778491  +/-  6020252124.215818
1.691916  +/-  5832042514.530259
1.508564  +/-  5646072745.483543
1.26072  +/-  6106942779.240108
0.968918  +/-  6118051283.498686
0.647255  +/-  5689596775.205381
0.307328  +/-  5852417652.640084
0.0  +/-  5997715648.033732
0.0  +/-  6859719047.217202
0.0  +/-  8009826584.962175
-0.0  +/-  7556873252.146181
-0.916495  +/-  8016963334.20129
-0.853708  +/-  7436074408.774478
-0.236064  +/-  4590086059.527704
0.27093  +/-  5663969910.537904
2.281654  +/-  3723268182.008354
-4.014215  +/-  4836588210.846422
-2.605167  +/-  6370029923.061374
-0.640886  +/-  6112672765.061029
-0.0  +/-  6955610494.319352
0.0  +/-  6990487648.783492
1.051374  +/-  7041817132.557218
1.638937  +/-  5482185855.351603
1.611603  +/-  5308563903.160402
1.485925  +/-  5449680585.762579
1.293919  +/-  5882989092.782376
1.055871  +/-  5436069005.482862
0.785121  +/-  5803805853.126177
0.491461  +/-  5422174762.326735
0.183927  +/-  5236660515.926112
0.0  +/-  5712923942.783129
0.0  +/-  7010551170.084675
0.0  +/-  7051946049.674942
-0.0  +/-  6973184199.344983
-0.89506  +/-  5999305507.180152
-0.780455  +/-  6357722777.304973
-0.174399  +/-  4771620657.234073
0.244683  +/-  2552026277.444578
2.163737  +/-  3739157225.65152
-3.298354  +/-  5999847968.048697
-2.683138  +/-  4832448758.379551
-0.894783  +/-  5627926521.735963
-0.0  +/-  6868381627.055118
0.0  +/-  6046367736.306488
0.184712  +/-  6026338409.326924
1.485864  +/-  4913891010.121153
1.509464  +/-  4499904883.22428
1.434197  +/-  4271946760.651397
1.291653  +/-  5047631968.315107
1.10197  +/-  4273260544.062994
0.878142  +/-  4219995714.26761
0.629042  +/-  4930394161.622245
0.361746  +/-  4325517765.642236
0.08365  +/-  4586777206.310616
0.0  +/-  4833491982.050921
0.0  +/-  6106796726.581372
-0.0  +/-  6030730723.354423
-0.0  +/-  6875940875.612018
-0.835941  +/-  5637709544.666701
-0.71195  +/-  4833129343.735701
-0.119489  +/-  5931865664.855245
0.217543  +/-  3765199261.59727
2.001967  +/-  6064731784.298304
-2.556035  +/-  6531087227.791674
-2.707974  +/-  4881090834.007159
-1.107179  +/-  7455310889.411537
-0.0  +/-  7524531833.95464
-0.0  +/-  6770949827.46704
0.0  +/-  6252198723.3069
0.666507  +/-  5139905962.374715
1.395772  +/-  5482255982.480578
1.36359  +/-  4279247139.052942
1.263926  +/-  4862604078.543609
1.116744  +/-  4807287687.294126
0.934878  +/-  3865653073.682572
0.726751  +/-  4812471890.06171
0.498386  +/-  4827520467.314163
0.25511  +/-  4287325267.852962
0.003244  +/-  5450869738.505049
0.0  +/-  5160424691.671791
0.0  +/-  6170373536.757809
-0.0  +/-  6793062188.081988
-0.0  +/-  7533552121.080959
-0.750766  +/-  7463195709.246719
-0.64921  +/-  4670387314.709222
